Num,Value,Model,Group
1,85.18,exp,NIV-OS
1,61.17,weibull,NIV-OS
1,64.96,gamma,NIV-OS
1,52.5,lnorm,NIV-OS
1,46.38,gompertz,NIV-OS
1,56.04,llogis,NIV-OS
1,48.76,gengamma,NIV-OS
1,47.11,FP1,NIV-OS
1,46.85,FP2,NIV-OS
1,47.09,RCS,NIV-OS
1,47.04,RP-hazard,NIV-OS
1,47.34,RP-odds,NIV-OS
1,48.43,RP-normal,NIV-OS
1,46.84,GAM,NIV-OS
1,48.1,param-mix,NIV-OS
1,47.05,mix-cure,NIV-OS
2,175.96,exp,NIV-OS
2,90.42,weibull,NIV-OS
2,104.14,gamma,NIV-OS
2,58.02,lnorm,NIV-OS
2,32.07,gompertz,NIV-OS
2,70.01,llogis,NIV-OS
2,44.43,gengamma,NIV-OS
2,32.63,FP1,NIV-OS
2,33.81,FP2,NIV-OS
2,35.46,RCS,NIV-OS
2,44.82,RP-hazard,NIV-OS
2,42.55,RP-odds,NIV-OS
2,45.79,RP-normal,NIV-OS
2,33.5,GAM,NIV-OS
2,33.71,param-mix,NIV-OS
2,31.67,mix-cure,NIV-OS
3,136.78,exp,NIV-OS
3,63.71,weibull,NIV-OS
3,76.1,gamma,NIV-OS
3,48.53,lnorm,NIV-OS
3,33.73,gompertz,NIV-OS
3,50.2,llogis,NIV-OS
3,35.65,gengamma,NIV-OS
3,36.23,FP1,NIV-OS
3,33.76,FP2,NIV-OS
3,33.57,RCS,NIV-OS
3,33.84,RP-hazard,NIV-OS
3,33.9,RP-odds,NIV-OS
3,34.23,RP-normal,NIV-OS
3,33.56,GAM,NIV-OS
3,34.68,param-mix,NIV-OS
3,32.53,mix-cure,NIV-OS
1,265.43,exp,NIV-PFS
1,165.58,weibull,NIV-PFS
1,187.62,gamma,NIV-PFS
1,139.19,lnorm,NIV-PFS
1,108.8,gompertz,NIV-PFS
1,143.81,llogis,NIV-PFS
1,116.89,gengamma,NIV-PFS
1,113.29,FP1,NIV-PFS
1,121.19,FP2,NIV-PFS
1,107.66,RCS,NIV-PFS
1,108.45,RP-hazard,NIV-PFS
1,108.43,RP-odds,NIV-PFS
1,107.53,RP-normal,NIV-PFS
1,107.6,GAM,NIV-PFS
1,124.26,param-mix,NIV-PFS
1,116.01,mix-cure,NIV-PFS
2,457.07,exp,NIV-PFS
2,228.71,weibull,NIV-PFS
2,272.16,gamma,NIV-PFS
2,181.08,lnorm,NIV-PFS
2,58.44,gompertz,NIV-PFS
2,194.83,llogis,NIV-PFS
2,112.46,gengamma,NIV-PFS
2,75.6,FP1,NIV-PFS
2,60.45,FP2,NIV-PFS
2,58.68,RCS,NIV-PFS
2,81.54,RP-hazard,NIV-PFS
2,78.08,RP-odds,NIV-PFS
2,77.25,RP-normal,NIV-PFS
2,58.31,GAM,NIV-PFS
2,102.57,param-mix,NIV-PFS
2,74.21,mix-cure,NIV-PFS
3,323.59,exp,NIV-PFS
3,145.43,weibull,NIV-PFS
3,184.67,gamma,NIV-PFS
3,114.39,lnorm,NIV-PFS
3,62.29,gompertz,NIV-PFS
3,116.64,llogis,NIV-PFS
3,73.22,gengamma,NIV-PFS
3,66.9,FP1,NIV-PFS
3,87.23,FP2,NIV-PFS
3,57.77,RCS,NIV-PFS
3,55.28,RP-hazard,NIV-PFS
3,55.24,RP-odds,NIV-PFS
3,55.16,RP-normal,NIV-PFS
3,57.63,GAM,NIV-PFS
3,66.86,param-mix,NIV-PFS
3,57.02,mix-cure,NIV-PFS
1,132.05,exp,IPI-OS
1,134.47,weibull,IPI-OS
1,137.72,gamma,IPI-OS
1,120.61,lnorm,IPI-OS
1,120.92,gompertz,IPI-OS
1,124.98,llogis,IPI-OS
1,120.45,gengamma,IPI-OS
1,138.64,FP1,IPI-OS
1,123.06,FP2,IPI-OS
1,120.67,RCS,IPI-OS
1,120.05,RP-hazard,IPI-OS
1,120.03,RP-odds,IPI-OS
1,120.09,RP-normal,IPI-OS
1,121.05,GAM,IPI-OS
1,129.19,param-mix,IPI-OS
1,123.63,mix-cure,IPI-OS
2,157.99,exp,IPI-OS
2,164.13,weibull,IPI-OS
2,170.75,gamma,IPI-OS
2,100.99,lnorm,IPI-OS
2,110.82,gompertz,IPI-OS
2,107.1,llogis,IPI-OS
2,100.4,gengamma,IPI-OS
2,166.19,FP1,IPI-OS
2,72.83,FP2,IPI-OS
2,90.51,RCS,IPI-OS
2,103.2,RP-hazard,IPI-OS
2,92.16,RP-odds,IPI-OS
2,95.68,RP-normal,IPI-OS
2,88.02,GAM,IPI-OS
2,111.98,param-mix,IPI-OS
2,95.1,mix-cure,IPI-OS
3,149.77,exp,IPI-OS
3,109.95,weibull,IPI-OS
3,123.56,gamma,IPI-OS
3,88.11,lnorm,IPI-OS
3,76.61,gompertz,IPI-OS
3,88.53,llogis,IPI-OS
3,80.45,gengamma,IPI-OS
3,77.7,FP1,IPI-OS
3,75.52,FP2,IPI-OS
3,75.48,RCS,IPI-OS
3,75.32,RP-hazard,IPI-OS
3,75.35,RP-odds,IPI-OS
3,75.34,RP-normal,IPI-OS
3,75.53,GAM,IPI-OS
3,77.52,param-mix,IPI-OS
3,76.58,mix-cure,IPI-OS
1,398.83,exp,IPI-PFS
1,368.05,weibull,IPI-PFS
1,400.31,gamma,IPI-PFS
1,344.77,lnorm,IPI-PFS
1,276.04,gompertz,IPI-PFS
1,335.5,llogis,IPI-PFS
1,316.61,gengamma,IPI-PFS
1,311.08,FP1,IPI-PFS
1,275.89,FP2,IPI-PFS
1,292.29,RCS,IPI-PFS
1,277.5,RP-hazard,IPI-PFS
1,283.44,RP-odds,IPI-PFS
1,295.89,RP-normal,IPI-PFS
1,281.78,GAM,IPI-PFS
1,363.4,param-mix,IPI-PFS
1,338.19,mix-cure,IPI-PFS
2,217.77,exp,IPI-PFS
2,202.56,weibull,IPI-PFS
2,218.49,gamma,IPI-PFS
2,189.91,lnorm,IPI-PFS
2,130.9,gompertz,IPI-PFS
2,185.61,llogis,IPI-PFS
2,167.46,gengamma,IPI-PFS
2,160.93,FP1,IPI-PFS
2,129.3,FP2,IPI-PFS
2,161.91,RCS,IPI-PFS
2,132.86,RP-hazard,IPI-PFS
2,134.96,RP-odds,IPI-PFS
2,141.27,RP-normal,IPI-PFS
2,167.82,GAM,IPI-PFS
2,183.15,param-mix,IPI-PFS
2,162.03,mix-cure,IPI-PFS
3,264.89,exp,IPI-PFS
3,207.01,weibull,IPI-PFS
3,240.67,gamma,IPI-PFS
3,183.19,lnorm,IPI-PFS
3,130.42,gompertz,IPI-PFS
3,177.85,llogis,IPI-PFS
3,149.15,gengamma,IPI-PFS
3,147.92,FP1,IPI-PFS
3,171.45,FP2,IPI-PFS
3,133.09,RCS,IPI-PFS
3,129.64,RP-hazard,IPI-PFS
3,131.9,RP-odds,IPI-PFS
3,135.93,RP-normal,IPI-PFS
3,131.37,GAM,IPI-PFS
3,182.3,param-mix,IPI-PFS
3,157.21,mix-cure,IPI-PFS
