nivpfs-nivos-ipipfs-ipios,ICER,ICER_PFS,INB,Incremental_Cost,Incremental_QALY
mixcure - GAM - FP2 - FP2,53733.05215,173410.5982,10641.05069,55690.95511,1.036437591
mixcure - GAM - FP2 - RP_hazard,74788.49468,173410.5982,-12167.76982,84349.96873,1.127846858
mixcure - GAM - GAM - FP2,49199.11614,178372.4406,15665.94889,52074.64948,1.05844685
mixcure - GAM - GAM - gompertz,69133.90414,178372.4406,-5877.210376,79143.3747,1.144783818
mixcure - GAM - GAM - RP_hazard,70211.96993,178372.4406,-7142.87162,80733.6631,1.149856117
mixcure - GAM - RCS - RP_hazard,57387.91391,167020.2216,7653.908223,66430.14322,1.157563304
mixcure - gompertz - FP2 - FP2,53760.80018,173410.5982,10633.76435,55832.45667,1.038534703
mixcure - gompertz - FP2 - RP_hazard,74774.92024,173410.5982,-12175.05617,84491.4703,1.129943971
mixcure - gompertz - GAM - FP2,49235.2537,178372.4406,15658.66255,52216.15105,1.060543962
mixcure - gompertz - GAM - gompertz,69130.86979,178372.4406,-5884.496719,79284.87627,1.14688093
mixcure - gompertz - GAM - RP_hazard,70206.98634,178372.4406,-7150.157963,80875.16467,1.15195323
mixcure - gompertz - RCS - RP_hazard,57406.15428,167020.2216,7646.62188,66571.64479,1.159660417
mixcure - RCS - FP2 - FP2,53789.98901,173410.5982,10626.06777,55981.92493,1.040749886
mixcure - RCS - FP2 - RP_hazard,74760.63617,173410.5982,-12182.75274,84640.93856,1.132159153
mixcure - RCS - GAM - FP2,49273.27095,178372.4406,15650.96598,52365.6193,1.062759145
mixcure - RCS - GAM - gompertz,69127.67664,178372.4406,-5892.19329,79434.34452,1.149096113
mixcure - RCS - GAM - RP_hazard,70201.74184,178372.4406,-7157.854534,81024.63293,1.154168412
mixcure - RCS - RCS - RP_hazard,57425.35009,167020.2216,7638.925309,66721.11305,1.161875599
gompertz - GAM - FP2 - FP2,48409.13703,171475.2015,16040.43486,49805.04357,1.028835601
gompertz - GAM - FP2 - RP_hazard,70041.88052,171475.2015,-6768.385651,78464.0572,1.120244868
gompertz - GAM - GAM - FP2,43953.90768,176605.6709,21065.33306,46188.73794,1.050844859
gompertz - GAM - GAM - gompertz,64420.18452,176605.6709,-477.8262032,73257.46316,1.137181827
gompertz - GAM - GAM - RP_hazard,65526.35688,176605.6709,-1743.487447,74847.75157,1.142254127
gompertz - GAM - RCS - RP_hazard,52648.92911,165103.2824,13053.2924,60544.23169,1.149961314
gompertz - gompertz - FP2 - FP2,48447.91953,171475.2015,16033.14852,49946.54514,1.030932713
gompertz - gompertz - FP2 - RP_hazard,70037.08327,171475.2015,-6775.671993,78605.55877,1.122341981
gompertz - gompertz - GAM - FP2,44000.75287,176605.6709,21058.04672,46330.23951,1.052941972
gompertz - gompertz - GAM - gompertz,64425.80665,176605.6709,-485.112546,73398.96473,1.13927894
gompertz - gompertz - GAM - RP_hazard,65529.92694,176605.6709,-1750.77379,74989.25314,1.14435124
gompertz - gompertz - RCS - RP_hazard,52675.9163,165103.2824,13046.00605,60685.73326,1.152058427
gompertz - RCS - FP2 - FP2,48488.71453,171475.2015,16025.45195,50096.0134,1.033147896
gompertz - RCS - FP2 - RP_hazard,70032.03535,171475.2015,-6783.368565,78755.02702,1.124557163
gompertz - RCS - GAM - FP2,44050.03326,176605.6709,21050.35015,46479.70777,1.055157155
gompertz - RCS - GAM - gompertz,64431.72287,176605.6709,-492.8091174,73548.43299,1.141494123
gompertz - RCS - GAM - RP_hazard,65533.68381,176605.6709,-1758.470362,75138.72139,1.146566422
gompertz - RCS - RCS - RP_hazard,52704.3164,165103.2824,13038.30948,60835.20151,1.154273609
FP1 - GAM - FP2 - FP2,53927.46299,173658.0673,10435.80424,55872.36329,1.036065118
FP1 - GAM - FP2 - RP_hazard,74974.09966,173658.0673,-12373.01627,84531.37692,1.127474385
FP1 - GAM - GAM - FP2,49387.88691,178612.4675,15460.70245,52256.05766,1.058074377
FP1 - GAM - GAM - gompertz,69314.92181,178612.4675,-6082.456821,79324.78288,1.144411345
FP1 - GAM - GAM - RP_hazard,70392.53817,178612.4675,-7348.118065,80915.07129,1.149483644
FP1 - GAM - RCS - RP_hazard,57563.15175,167247.8749,7448.661778,66611.55141,1.157190831
FP1 - gompertz - FP2 - FP2,53954.82826,173658.0673,10428.5179,56013.86486,1.038162231
FP1 - gompertz - FP2 - RP_hazard,74960.17617,173658.0673,-12380.30261,84672.87849,1.129571498
FP1 - gompertz - GAM - FP2,49423.66376,178612.4675,15453.4161,52397.55923,1.06017149
FP1 - gompertz - GAM - gompertz,69311.55538,178612.4675,-6089.743164,79466.28445,1.146508458
FP1 - gompertz - GAM - RP_hazard,70387.22414,178612.4675,-7355.404408,81056.57286,1.151580757
FP1 - gompertz - RCS - RP_hazard,57581.08098,167247.8749,7441.375435,66753.05298,1.159287944
FP1 - RCS - FP2 - FP2,53983.61441,173658.0673,10420.82133,56163.33312,1.040377413
FP1 - RCS - FP2 - RP_hazard,74945.5248,173658.0673,-12387.99918,84822.34675,1.131786681
FP1 - RCS - GAM - FP2,49461.30149,178612.4675,15445.71953,52547.02749,1.062386672
FP1 - RCS - GAM - gompertz,69308.01276,178612.4675,-6097.439735,79615.75271,1.14872364
FP1 - RCS - GAM - RP_hazard,70381.6319,178612.4675,-7363.10098,81206.04112,1.15379594
FP1 - RCS - RCS - RP_hazard,57599.94933,167247.8749,7433.678864,66902.52123,1.161503127
